Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
61;21100870279;"Microbial genomics";journal;"20575858";3,208;Q1;28;72;175;4129;1030;173;4,98;57,35;United Kingdom;Western Europe;"Microbiology Society";"2015-2020";"Epidemiology (Q1); Genetics (Q1); Microbiology (Q1); Molecular Biology (Q1)"
62;17495;"NeuroImage";journal;"10959572, 10538119";3,207;Q1;364;1032;2668;77362;18259;2630;6,66;74,96;United States;Northern America;"Academic Press Inc.";"1970, 1992-2020";"Cognitive Neuroscience (Q1); Neurology (Q1)"
63;16592;"Plant Biotechnology Journal";journal;"14677644, 14677652";3,204;Q1;115;208;519;12003;4171;505;8,52;57,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2020";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1)"
64;21100248838;"Stem Cell Reports";journal;"22136711";3,201;Q1;76;196;746;8178;4454;736;5,80;41,72;United States;Northern America;"Cell Press";"2013-2020";"Biochemistry (Q1); Cell Biology (Q1); Developmental Biology (Q1); Genetics (Q1)"
65;21100773739;"Materials Research Letters";journal;"21663831";3,195;Q1;47;62;188;1856;1472;188;7,30;29,94;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2020";"Materials Science (miscellaneous) (Q1)"
66;21100197121;"Geoscientific Model Development";journal;"1991959X, 19919603";3,180;Q1;86;234;689;17531;4100;689;5,64;74,92;Germany;Western Europe;"Copernicus Gesellschaft mbH";"2008-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Modeling and Simulation (Q1)"
67;21100894518;"JCI insight";journal;"23793708";3,176;Q1;45;567;749;28705;4519;748;6,04;50,63;United States;Northern America;"The American Society for Clinical Investigation";"2016-2020";"Medicine (miscellaneous) (Q1)"
68;20276;"Ecography";journal;"16000587, 09067590";3,155;Q1;128;188;439;13735;2784;432;6,63;73,06;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2020";"Ecology, Evolution, Behavior and Systematics (Q1)"
69;21100224448;"Molecular Metabolism";journal;"22128778";3,107;Q1;65;160;440;10983;2825;417;6,03;68,64;Germany;Western Europe;"Elsevier GmbH";"2012-2020";"Cell Biology (Q1); Molecular Biology (Q1)"
70;21100451321;"Scientific data";journal;"20524463";3,099;Q1;64;368;608;14381;5100;588;6,07;39,08;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2020";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
