Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
11;24663;"Revista de la Asociacion Geologica Argentina";journal;"00044822";0,386;Q2;39;77;142;2629;71;142;0,41;34,14;Argentina;Latin America;"Asociacion Geologica Argentina";"1992-1994, 1996-2020";"Geology (Q2)"
12;18349;"South African Medical Journal";journal;"02569574, 20785135";0,376;Q2;57;422;1380;2027;319;371;0,22;4,80;South Africa;Africa;"South African Medical Association";"1945-2020";"Medicine (miscellaneous) (Q2)"
13;22729;"Journal of the Brazilian Chemical Society";journal;"01035053, 16784790";0,352;Q2;70;154;360;4024;428;351;1,15;26,13;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1990, 1996-2020";"Chemistry (miscellaneous) (Q2)"
14;12079;"Atmosfera";journal;"01876236";0,343;Q3;29;16;49;267;23;49;0,50;16,69;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1988-2020";"Atmospheric Science (Q3)"
15;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";0,327;Q2;39;55;123;2771;72;122;0,59;50,38;Chile;Latin America;"Sociedad de Biologia de Chile";"2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2)"
16;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682, 16789849";0,308;Q3;52;127;344;2815;172;328;0,44;22,17;Brazil;Latin America;"Sociedade Brasileira de Medicina Tropical";"1972-1976, 1986-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3); Parasitology (Q3)"
17;14224;"Arquivos de Neuro-Psiquiatria";journal;"16784227, 0004282X";0,300;Q3;48;212;616;4565;354;607;0,54;21,53;Brazil;Latin America;"Arquivos de Neuro-Psiquiatria";"1945-1965, 1971-2020";"Neurology (clinical) (Q3); Biological Psychiatry (Q4)"
18;61695;"Journal of the South African Veterinary Association";journal;"10199128, 22249435";0,289;Q2;31;39;137;861;69;126;0,36;22,08;South Africa;Africa;"AOSIS (Pty) Ltd";"1945, 1948, 1961, 1971-2020";"Medicine (miscellaneous) (Q2); Veterinary (miscellaneous) (Q3)"
19;24880;"South African Journal of Science";journal;"03708462, 00382353";0,289;Q2;61;147;423;4424;257;391;0,49;30,10;South Africa;Africa;"National Research Foundation";"1973-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)"
20;24371;"Brazilian Dental Journal";journal;"01036440";0,280;Q3;50;49;124;862;66;124;0,41;17,59;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1990-2020";"Dentistry (miscellaneous) (Q3)"
21;17323;"Bothalia";journal;"23119284, 00068241";0,279;Q3;20;28;104;481;29;103;0,25;17,18;South Africa;Africa;"AOSIS (Pty) Ltd";"1978, 1993-2019";"Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
22;13567;"Revista de Biologia Tropical";journal;"00347744";0,276;Q2;38;140;411;4335;187;408;0,41;30,96;Costa Rica;Latin America;"Universidad de Costa Rica";"1969-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
23;4000151823;"Scientia Agricola";journal;"01039016";0,276;Q3;52;105;359;2752;103;321;0,29;26,21;Brazil;Latin America;"Escola Superior de Agricultura Luiz de Queiroz";"1997-2021";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3)"
24;26181;"Trimestre Economico";journal;"00413011";0,271;Q3;11;25;64;943;9;63;0,15;37,72;Mexico;Latin America;"Fondo de Cultura Economica";"1979, 1981, 1989, 1996-2020";"Economics and Econometrics (Q3)"
25;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670, 16784391";0,263;Q3;45;65;164;355;95;156;0,42;5,46;Brazil;Latin America;"Elsevier Editora Ltda";"2000-2020";"Infectious Diseases (Q3); Microbiology (medical) (Q3)"
26;12400154701;"Latin American Journal of Aquatic Research";journal;"0718560X";0,257;Q3;28;24;49;732;12;49;0,21;30,50;Chile;Latin America;"Pontificia Universidad Catolica de Valparaiso";"2008-2020";"Oceanography (Q3); Aquatic Science (Q4)"
27;22596;"Revista de Saude Publica";journal;"00348910, 15188787";0,257;Q2;77;152;342;2262;151;325;0,34;14,88;Brazil;Latin America;"University of Sao Paolo";"1967-2020";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q3)"
28;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,255;Q3;54;81;328;1754;159;291;0,46;21,65;Mexico;Latin America;"Instituto Nacional de Salud Publica";"1961-2020";"Public Health, Environmental and Occupational Health (Q3)"
29;18625;"Koedoe";journal;"20710771, 00756458";0,250;Q3;29;19;56;522;22;56;0,32;27,47;South Africa;Africa;"AOSIS (Pty) Ltd";"1980-1984, 1987-2006, 2008-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
30;22186;"Genetics and Molecular Biology";journal;"14154757, 16784685";0,249;Q4;55;107;195;3170;88;193;0,39;29,63;Brazil;Latin America;"Brazilian Society of Genetics";"1998-2020";"Genetics (Q4); Molecular Biology (Q4)"
31;16349;"Brazilian Journal of Chemical Engineering";journal;"01046632";0,246;Q2;52;67;148;1142;51;146;0,25;17,04;Brazil;Latin America;"Association Brasiliera de Eng. Quimica / Braz. Soc. Chem. Eng.";"1995-2020";"Chemical Engineering (miscellaneous) (Q2)"
32;21479;"Quimica Nova";journal;"01004042, 16787064";0,245;Q3;73;173;464;7024;273;449;0,60;40,60;Brazil;Latin America;"Sociedade Brasileira de Quimica";"1992, 1997-2020";"Chemistry (miscellaneous) (Q3)"
33;60803;"Gaceta Sanitaria";journal;"02139111";0,241;Q3;42;116;242;1004;139;193;0,53;8,66;Spain;Western Europe;"Ediciones Doyma, S.L.";"1987-2020";"Public Health, Environmental and Occupational Health (Q3)"
34;72196;"Pesquisa Agropecuaria Brasileira";journal;"0100204X, 16783921";0,241;Q3;56;181;620;3972;145;620;0,22;21,94;Brazil;Latin America;"Embrapa";"1978, 1983-1984, 1986-1987, 1996-2020";"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3)"
35;22604;"Revista Panamericana de Salud Publica/Pan American Journal of Public Health";journal;"16805348, 10204989";0,231;Q3;57;115;360;2825;176;324;0,40;24,57;United States;Northern America;"Pan American Health Organization";"1997-2020";"Public Health, Environmental and Occupational Health (Q3)"
36;15162;"Eure";journal;"07176236, 02507161";0,226;Q3;27;19;58;765;37;58;0,58;40,26;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"1979, 1982, 1996-1998, 2001-2020";"Urban Studies (Q3)"
37;17672;"Arquivo Brasileiro de Medicina Veterinaria e Zootecnia";journal;"01020935, 16784162";0,223;Q3;33;128;359;2456;43;359;0,09;19,19;Brazil;Latin America;"Universidade de Minas Gerais";"1996-2020";"Veterinary (miscellaneous) (Q3)"
38;18852;"Revista Brasileira de Zootecnia";journal;"18069290, 15163598";0,222;Q4;53;270;616;7194;186;616;0,27;26,64;Brazil;Latin America;"Sociedade Brasileira de Zootecnia";"1996-2020";"Animal Science and Zoology (Q4)"
39;13841;"Brazilian Journal of Biology";journal;"15196984, 16784375";0,221;Q2;53;105;265;1202;88;265;0,26;11,45;Brazil;Latin America;"Instituto Internacional de Ecologia";"2000-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
40;21544;"South African Journal of Chemistry";journal;"03794350";0,221;Q3;20;12;37;311;14;37;0,41;25,92;South Africa;Africa;"Bureau for Scientific Publications";"1996-2020";"Chemistry (miscellaneous) (Q3)"
41;54988;"South African Journal of Animal Sciences";journal;"03751589";0,219;Q4;33;154;98;2320;46;98;0,48;15,06;South Africa;Africa;"Bureau for Scientific Publications";"1974, 1996-2020";"Animal Science and Zoology (Q4)"
42;25359;"Revista Espanola de Enfermedades Digestivas";journal;"11300108";0,216;Q2;38;139;390;3006;169;200;0,37;21,63;Spain;Western Europe;"ARAN Ediciones S.A.";"1990-2020";"Medicine (miscellaneous) (Q2); Gastroenterology (Q3)"
43;4800153106;"Acta Botanica Brasilica";journal;"01023306";0,215;Q3;47;91;130;3348;58;129;0,41;36,79;Brazil;Latin America;"Sociedade Botanica de Sao Paulo";"1997-2020";"Plant Science (Q3)"
44;21100228063;"Journal of the Southern African Institute of Mining and Metallurgy";journal;"22256253";0,214;Q2;37;78;192;1033;30;182;0,18;13,24;South Africa;Africa;"South African Institute of Mining and Metallurgy";"1988, 2006-2020";"Geotechnical Engineering and Engineering Geology (Q2); Metals and Alloys (Q2); Materials Chemistry (Q3)"
45;18819;"Pesquisa Veterinaria Brasileira";journal;"0100736X, 16785150";0,213;Q3;35;42;78;1014;28;77;0,37;24,14;Brazil;Latin America;"Colegio Brasileiro de Patologia Animal";"1996-2020";"Veterinary (miscellaneous) (Q3)"
46;26806;"Ciencias Marinas";journal;"01853880";0,207;Q4;29;52;117;1616;44;116;0,36;31,08;Mexico;Latin America;"Universidad Autonoma de Baja California";"1992-2020";"Aquatic Science (Q4)"
47;13565;"Revista de Biologia Marina y Oceanografia";journal;"07173326";0,207;Q3;25;11;41;358;10;41;0,18;32,55;Chile;Latin America;"Universidad de Valparaiso";"1996-2020";"Oceanography (Q3); Aquatic Science (Q4)"
48;20500195022;"Tecnologia y Ciencias del Agua";journal;"01878336, 20072422";0,206;Q3;12;37;117;687;23;117;0,14;18,57;Mexico;Latin America;"Instituto Mexicano de Tecnologia del Agua";"2010-2020";"Civil and Structural Engineering (Q3); Water Science and Technology (Q3)"
49;29758;"Revista Mexicana de Fisica";journal;"0035001X";0,204;Q3;25;135;541;2566;127;539;0,25;19,01;Mexico;Latin America;"Sociedad Mexicana de Fisica";"1991-1993, 1995-2020";"Education (Q3); Physics and Astronomy (miscellaneous) (Q4)"
50;23432;"Journal of the Chilean Chemical Society";journal;"07179324, 07179707";0,202;Q3;31;64;199;1488;80;196;0,37;23,25;Chile;Latin America;"Sociedad Chilena De Quimica";"2003-2020";"Chemistry (miscellaneous) (Q3)"
51;19332;"Salud Mental";journal;"01853325";0,201;Q3;24;52;158;2296;112;133;0,64;44,15;Mexico;Latin America;"Elsevier GmbH";"1995-2020";"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)"
52;5000153301;"Proyecciones";journal;"07176279, 07160917";0,200;Q4;12;0;37;0;1;37;0,06;0,00;Chile;Latin America;"Universidad Catolica del Norte";"2000-2002, 2006-2020";"Mathematics (miscellaneous) (Q4)"
53;20135;"Cadernos de Saude Publica";journal;"0102311X, 16784464";0,195;Q3;77;236;549;1305;204;530;0,31;5,53;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1998-2020";"Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)"
54;5000160205;"Revista Cubana de Medicina General Integral";journal;"08642125";0,192;Q3;13;22;156;312;12;156;0,03;14,18;Cuba;Latin America;"Editorial Ciencias Medicas";"1996-2002, 2004-2020";"Medicine (miscellaneous) (Q3)"
55;8100153108;"Revista Brasileira de Historia";journal;"01020188, 18069347";0,191;Q1;7;0;6;0;1;6;0,00;0,00;Brazil;Latin America;"Associacao Nacional de Historia";"1999, 2001, 2007-2020";"Cultural Studies (Q1); History (Q1); Geography, Planning and Development (Q2); Sociology and Political Science (Q3)"
56;18259;"Revista Medica de Chile";journal;"07176163, 00349887";0,190;Q3;38;206;617;4653;261;559;0,37;22,59;Chile;Latin America;"Sociedad Medica de Santiago";"1945-2020";"Medicine (miscellaneous) (Q3)"
57;4400151728;"Revista Mexicana de Ciencias Geologicas";journal;"10268774";0,190;Q3;35;35;60;1079;16;60;0,15;30,83;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Geology (Q3)"
